ID	Class	Text
33	pks	KS KS AT KS AT ACP AT KS
34	pks	KS KS AT ACP
35	pks	KS KS ACP KS ACP KS ACP KS AT ACP KS KS ACP AT AT KS AT AT KS ACP KS KS AT ACP AT AT AT ACP ACP ACP
36	pks	ACP KS ACP KS KS KS KS AT ACP ACP AT AT ACP KS ACP ACP KS ACP AT KS AT AT AT KS AT KS KS KS KS ACP AT KS KS
37	pks	ACP KS KS KS KS ACP AT ACP ACP AT ACP AT AT ACP AT KS AT AT
38	pks	KS KS AT ACP KS AT KS AT KS KS AT ACP ACP AT ACP KS KS ACP AT ACP KS KS ACP ACP KS
39	pks	AT ACP ACP AT KS KS KS ACP ACP KS KS AT ACP ACP AT AT ACP ACP ACP AT
40	pks	AT KS AT AT KS AT KS AT KS ACP AT ACP KS AT AT KS KS ACP AT AT ACP
41	pks	ACP KS KS KS KS
42	pks	ACP KS ACP ACP KS KS ACP ACP AT KS AT ACP ACP AT KS AT ACP ACP ACP ACP KS ACP KS KS AT ACP ACP ACP ACP KS ACP KS ACP AT ACP
43	pks	AT KS ACP ACP ACP ACP KS KS KS AT ACP KS ACP KS ACP AT ACP ACP AT ACP KS AT ACP AT ACP ACP ACP
44	pks	AT AT ACP KS ACP KS
45	pks	AT KS ACP ACP ACP AT ACP KS ACP KS ACP KS ACP AT ACP ACP KS ACP AT KS KS ACP AT AT ACP KS KS KS KS ACP AT KS ACP KS KS KS KS AT
46	pks	AT ACP ACP AT ACP AT ACP ACP KS KS ACP AT ACP KS AT KS ACP KS AT ACP KS AT AT ACP AT
47	pks	ACP ACP KS AT KS AT AT AT AT KS AT ACP ACP AT AT KS KS KS ACP ACP AT KS ACP ACP KS ACP ACP AT AT AT ACP KS AT KS ACP
48	pks	ACP ACP AT AT AT ACP AT AT ACP AT ACP KS KS KS KS ACP KS ACP ACP AT KS KS ACP ACP AT
49	pks	KS AT KS KS ACP ACP ACP KS AT AT ACP
50	pks	AT AT ACP KS AT AT KS ACP AT AT
51	pks	AT KS KS KS KS KS ACP ACP KS AT AT ACP AT KS AT ACP AT AT
52	pks	ACP KS ACP AT AT KS AT KS AT KS KS ACP KS KS AT AT ACP AT KS ACP KS ACP KS
53	pks	ACP ACP ACP KS KS ACP AT KS KS ACP
54	pks	ACP ACP KS AT AT KS KS KS AT ACP ACP AT AT ACP KS ACP AT ACP KS AT KS AT KS AT ACP
55	pks	AT ACP ACP AT AT ACP ACP AT AT AT KS AT ACP AT KS
56	pks	AT AT AT AT KS KS ACP AT KS KS KS ACP KS ACP ACP KS
57	pks	AT AT KS AT ACP KS KS ACP AT AT ACP AT AT AT ACP KS ACP ACP AT AT KS
58	pks	KS KS KS KS ACP ACP ACP KS AT KS KS KS ACP KS KS ACP AT KS AT AT AT KS KS AT AT AT AT KS KS ACP KS AT KS ACP AT KS KS
59	pks	ACP KS KS AT ACP KS KS AT KS ACP ACP ACP ACP AT
60	pks	AT KS ACP ACP AT KS AT ACP AT KS ACP ACP AT ACP KS AT AT KS ACP AT ACP AT AT ACP KS ACP ACP ACP AT AT ACP ACP KS AT AT ACP ACP
61	pks	KS ACP ACP KS
62	pks	AT KS KS AT ACP KS KS ACP AT KS AT AT AT KS AT AT KS KS KS AT
63	pks	AT KS ACP ACP
64	pks	AT ACP KS ACP AT AT KS KS KS ACP KS AT KS ACP KS AT KS KS AT KS KS KS AT KS KS AT AT
65	pks	KS AT AT ACP AT KS ACP KS ACP ACP ACP AT ACP AT AT AT ACP ACP ACP AT AT ACP KS KS ACP AT AT
66	pks	KS ACP AT AT AT ACP AT KS ACP ACP AT AT AT ACP KS ACP AT KS ACP AT AT AT ACP KS AT ACP ACP KS KS
67	pks	AT KS KS AT KS ACP ACP ACP ACP AT AT KS KS AT AT ACP AT KS AT AT KS ACP ACP ACP AT ACP KS
68	pks	ACP AT KS AT ACP ACP KS AT AT AT AT AT AT ACP KS AT KS KS ACP KS ACP KS AT KS KS KS ACP KS AT
69	pks	ACP ACP KS ACP AT ACP AT KS ACP AT KS
70	pks	AT ACP KS AT KS KS KS AT KS AT ACP AT AT KS AT ACP ACP ACP ACP ACP AT AT ACP ACP KS KS ACP ACP AT KS KS KS
71	pks	AT AT KS AT KS KS ACP KS ACP KS ACP AT AT AT AT KS AT
72	pks	AT AT KS KS KS AT KS ACP ACP ACP ACP AT KS AT ACP
73	pks	KS AT AT ACP ACP AT ACP KS KS ACP ACP KS AT AT AT AT ACP ACP KS KS KS KS
74	pks	KS KS ACP KS ACP ACP AT KS AT ACP KS AT ACP AT ACP ACP KS ACP AT KS
75	pks	AT KS ACP ACP ACP ACP KS ACP KS KS ACP AT KS KS AT ACP KS KS KS KS ACP ACP KS KS AT
76	pks	AT KS KS KS AT AT ACP ACP AT AT AT
77	pks	AT AT KS KS KS ACP KS KS AT AT AT AT KS KS KS AT ACP AT ACP
78	pks	ACP AT AT KS KS ACP AT ACP KS KS KS AT ACP ACP KS AT AT
79	pks	KS ACP ACP ACP AT ACP AT KS AT ACP KS KS ACP KS ACP ACP KS KS ACP KS ACP AT KS AT AT
80	pks	KS KS AT KS ACP ACP ACP KS ACP ACP KS KS ACP ACP KS AT AT KS KS KS AT AT AT ACP KS AT ACP KS KS AT KS
81	pks	KS AT KS AT AT ACP AT KS KS ACP ACP AT AT KS KS AT KS ACP AT KS ACP ACP AT AT ACP AT ACP ACP ACP AT
82	pks	ACP ACP AT AT ACP AT KS ACP ACP KS ACP AT ACP ACP KS AT ACP KS AT ACP AT AT AT KS ACP KS AT KS AT AT AT ACP ACP AT ACP AT KS
83	pks	KS KS AT ACP AT AT KS KS AT KS AT AT AT ACP KS ACP AT KS KS KS ACP KS KS KS ACP KS KS ACP ACP ACP ACP ACP
84	pks	AT KS KS AT ACP AT ACP ACP AT KS AT KS ACP KS ACP ACP AT ACP KS AT KS ACP ACP KS KS KS
85	pks	KS AT AT ACP AT ACP KS KS AT AT ACP AT AT AT KS ACP AT KS KS AT KS AT KS ACP KS AT
86	pks	KS ACP KS ACP AT KS
87	pks	AT ACP AT AT ACP ACP AT ACP ACP AT ACP AT ACP ACP ACP AT ACP KS KS KS AT ACP AT ACP AT KS ACP KS ACP KS AT KS AT AT KS
88	pks	AT AT KS AT AT AT AT AT ACP KS AT KS AT KS AT AT ACP KS AT ACP
89	pks	KS KS KS ACP KS ACP ACP KS KS KS ACP KS KS AT
90	pks	ACP AT AT AT AT ACP KS ACP AT AT KS AT AT ACP ACP AT AT ACP KS KS KS AT KS ACP ACP AT KS AT ACP AT KS AT ACP AT AT AT ACP
91	pks	ACP AT ACP AT ACP AT AT KS AT AT AT ACP ACP KS KS AT ACP ACP ACP KS ACP KS ACP ACP
92	pks	ACP ACP AT KS KS ACP KS KS ACP AT ACP AT KS ACP
93	pks	ACP AT AT AT AT AT ACP KS AT ACP ACP ACP KS ACP ACP AT ACP KS KS ACP KS AT ACP ACP KS KS KS KS AT KS
94	pks	ACP ACP AT KS ACP AT ACP ACP ACP ACP ACP KS AT AT KS ACP AT ACP AT AT KS ACP AT ACP ACP AT ACP ACP AT ACP ACP ACP ACP
95	pks	KS AT AT ACP KS KS ACP AT ACP KS KS AT KS AT KS ACP ACP AT KS ACP KS ACP ACP KS KS ACP ACP ACP ACP AT KS KS ACP
96	pks	AT KS ACP AT KS AT AT ACP ACP KS ACP AT ACP AT KS ACP KS ACP ACP ACP AT ACP ACP ACP KS ACP ACP KS AT KS ACP AT ACP AT AT KS KS ACP ACP ACP
97	pks	ACP KS AT KS KS AT ACP ACP AT ACP AT AT KS AT KS AT AT ACP KS ACP KS ACP
98	pks	ACP AT ACP AT
99	pks	KS KS KS KS ACP ACP ACP AT AT AT ACP KS ACP ACP AT KS AT ACP KS KS AT KS AT KS KS AT KS KS ACP ACP KS KS
100	pks	ACP ACP AT ACP KS KS AT KS ACP AT AT KS ACP KS AT KS AT AT AT ACP ACP ACP ACP KS AT KS
101	pks	KS KS KS AT AT KS KS KS ACP KS KS AT
102	pks	AT KS ACP KS AT AT KS KS KS
103	pks	AT ACP KS AT AT ACP AT AT AT ACP KS KS AT KS KS KS KS ACP AT
104	pks	ACP AT KS AT KS AT KS AT KS AT AT KS KS KS KS AT KS AT ACP ACP ACP KS ACP ACP AT ACP AT AT KS AT AT ACP AT
105	pks	ACP KS KS KS ACP AT AT AT AT ACP AT AT KS ACP AT ACP KS KS AT AT ACP ACP ACP KS AT KS KS AT AT ACP ACP ACP KS KS KS
106	pks	AT ACP AT AT AT AT AT KS KS AT KS AT KS ACP AT KS AT AT KS ACP KS ACP AT AT ACP
107	pks	KS ACP ACP AT ACP KS ACP KS AT KS ACP ACP AT KS AT KS KS AT ACP AT ACP ACP KS KS KS KS ACP KS ACP ACP KS KS ACP AT
108	pks	ACP KS AT AT KS ACP KS AT ACP ACP AT ACP ACP KS ACP AT ACP AT ACP AT AT ACP AT
109	pks	AT ACP ACP KS KS AT AT KS AT ACP ACP AT ACP ACP ACP AT AT AT ACP ACP ACP ACP AT KS KS KS ACP ACP AT AT ACP AT ACP AT KS
110	pks	AT KS ACP KS ACP ACP ACP KS ACP ACP AT AT ACP AT AT AT AT KS AT ACP ACP ACP KS AT KS ACP AT
111	pks	ACP KS ACP ACP AT ACP
112	pks	KS KS KS AT AT ACP AT AT AT
113	pks	AT ACP ACP AT KS ACP AT KS ACP ACP AT ACP ACP KS KS KS KS KS AT AT AT KS AT KS ACP AT ACP ACP ACP AT KS KS ACP KS KS AT ACP KS KS ACP
114	pks	ACP AT AT AT KS ACP KS KS AT KS AT AT AT AT AT KS AT KS KS KS ACP AT AT AT KS KS ACP KS KS AT KS
115	pks	KS AT AT KS KS ACP KS ACP KS
116	pks	KS AT ACP AT AT
117	pks	AT ACP AT KS ACP ACP AT KS ACP ACP ACP KS ACP AT KS AT KS ACP ACP AT AT ACP AT ACP ACP KS ACP KS
118	pks	ACP AT KS AT ACP ACP
119	pks	ACP KS KS ACP ACP ACP KS KS AT ACP ACP AT KS AT KS AT
120	pks	ACP AT ACP KS AT ACP KS AT AT AT KS AT KS AT AT KS KS KS ACP ACP ACP ACP ACP
121	pks	AT AT KS KS ACP KS KS ACP AT KS AT ACP AT KS KS KS ACP KS KS ACP ACP AT AT KS KS ACP ACP ACP ACP AT KS AT ACP KS KS AT ACP
122	pks	ACP AT AT AT KS KS KS AT KS AT KS KS KS KS KS ACP AT ACP AT ACP
123	pks	KS KS AT AT ACP AT AT KS KS KS KS KS KS ACP KS KS ACP AT KS KS ACP ACP KS ACP AT ACP ACP KS
124	pks	KS ACP ACP AT KS AT KS ACP AT AT AT AT ACP ACP AT KS KS KS KS ACP
125	pks	ACP KS KS AT ACP KS KS AT ACP AT KS ACP ACP AT AT KS ACP AT KS ACP KS KS AT ACP KS KS KS AT KS ACP ACP
126	pks	AT KS AT AT KS AT KS ACP KS KS ACP AT AT KS AT AT ACP AT AT AT KS ACP ACP ACP ACP KS KS KS AT AT KS ACP ACP AT AT AT ACP KS AT KS
127	pks	ACP AT KS AT KS AT KS KS ACP AT ACP AT AT AT ACP ACP KS KS AT ACP AT ACP KS AT AT AT AT ACP AT KS ACP ACP KS KS KS ACP KS KS
128	pks	AT KS KS AT KS AT ACP KS KS ACP KS KS KS KS KS KS KS KS ACP AT AT KS AT ACP AT KS KS KS ACP AT ACP ACP ACP AT KS AT AT KS AT KS
129	pks	KS ACP AT ACP ACP AT
130	pks	ACP ACP KS AT ACP KS KS AT AT KS AT ACP ACP ACP AT KS ACP ACP KS KS KS KS ACP AT AT ACP AT AT KS KS AT ACP KS AT KS KS
131	pks	ACP KS AT AT KS AT AT AT KS KS AT KS ACP AT KS AT KS ACP KS AT
132	pks	AT ACP ACP ACP ACP AT KS ACP
133	pks	AT AT AT AT KS ACP KS KS ACP AT ACP AT KS AT AT ACP
134	pks	AT KS AT KS ACP KS KS KS ACP KS ACP AT ACP ACP KS KS KS KS ACP
135	pks	ACP AT KS ACP AT ACP AT
136	pks	KS ACP ACP AT AT AT ACP AT KS AT AT ACP ACP KS ACP ACP KS ACP AT KS AT KS KS KS KS ACP AT
137	pks	AT ACP AT ACP KS AT KS AT AT AT AT AT AT KS KS ACP KS
138	pks	AT AT KS AT ACP KS ACP ACP AT AT KS AT AT KS AT KS KS ACP AT KS
139	pks	KS KS KS KS ACP ACP ACP ACP KS KS KS
140	pks	AT KS AT AT KS ACP ACP ACP KS AT KS AT ACP AT KS KS ACP KS KS KS AT ACP AT ACP AT ACP KS ACP AT ACP KS AT
141	pks	ACP ACP AT AT KS ACP AT ACP AT AT AT AT ACP AT ACP ACP AT AT AT KS ACP KS KS KS AT KS ACP ACP AT AT ACP KS AT ACP KS AT
142	pks	KS KS KS KS ACP
143	pks	ACP ACP KS KS ACP KS AT
144	pks	ACP AT ACP ACP KS KS AT ACP AT ACP KS AT ACP KS
145	pks	AT KS ACP ACP ACP KS KS ACP ACP AT KS AT KS ACP ACP AT KS KS AT AT KS AT KS ACP ACP AT KS ACP AT KS KS KS ACP KS AT AT KS AT
146	pks	KS ACP KS KS KS KS KS ACP
147	pks	AT AT KS ACP AT KS AT ACP ACP KS AT AT AT KS KS AT ACP AT AT KS AT KS AT ACP ACP
148	pks	KS KS AT ACP ACP AT ACP ACP KS
149	pks	KS KS ACP ACP ACP ACP KS AT ACP KS AT AT ACP ACP AT
150	pks	ACP AT ACP AT KS ACP AT KS ACP ACP AT AT AT AT AT AT AT KS AT ACP AT AT AT ACP AT
151	pks	KS AT AT KS ACP KS KS KS KS AT ACP AT KS ACP
152	pks	KS AT KS KS AT ACP ACP ACP KS AT KS KS AT ACP KS AT KS KS ACP ACP KS KS AT ACP AT AT AT AT
153	pks	KS AT KS KS KS KS ACP ACP ACP ACP KS AT AT KS ACP KS KS
154	pks	ACP ACP KS ACP AT KS
155	pks	KS KS KS AT ACP KS ACP KS ACP ACP
156	pks	KS ACP KS KS AT KS KS ACP KS ACP ACP AT AT AT KS ACP AT KS KS AT KS KS KS KS
157	pks	AT KS AT AT ACP ACP ACP ACP KS AT AT AT AT KS ACP AT KS ACP KS
158	pks	KS AT KS ACP ACP ACP AT ACP KS AT KS KS ACP ACP AT ACP ACP KS ACP KS ACP KS AT KS KS KS AT KS ACP KS AT
159	pks	AT AT ACP AT KS AT AT KS ACP AT AT ACP ACP ACP KS AT KS AT AT KS KS ACP KS
160	pks	KS KS AT ACP KS AT AT ACP AT AT AT ACP AT ACP AT KS KS KS ACP ACP ACP AT KS AT ACP KS ACP KS ACP ACP AT KS AT ACP AT ACP AT ACP KS KS
161	pks	AT KS KS ACP KS KS KS ACP AT AT ACP KS ACP KS AT ACP AT KS ACP ACP AT AT ACP AT ACP ACP ACP ACP ACP AT ACP AT KS ACP AT KS ACP
162	pks	KS ACP ACP ACP AT AT ACP KS KS ACP ACP AT ACP AT AT KS ACP ACP KS KS ACP KS KS ACP ACP KS KS AT AT
163	pks	AT AT AT ACP
164	pks	ACP ACP KS ACP ACP KS ACP KS AT KS ACP KS KS ACP KS AT KS KS ACP AT
165	pks	AT AT KS AT KS AT KS ACP AT ACP KS KS KS ACP KS ACP KS ACP
166	pks	KS KS AT KS AT KS AT AT AT AT ACP AT ACP AT KS AT ACP KS KS AT AT KS KS AT KS KS KS KS ACP
167	pks	AT AT ACP AT ACP ACP KS AT KS ACP AT KS ACP ACP ACP ACP KS AT KS ACP AT ACP AT AT KS KS ACP KS ACP AT
168	pks	AT KS KS AT KS AT AT ACP AT ACP AT ACP KS KS KS AT AT KS AT AT ACP AT KS KS ACP ACP AT ACP KS ACP ACP AT
169	pks	KS AT ACP AT KS ACP ACP
170	pks	KS ACP ACP KS AT ACP ACP ACP ACP AT KS AT ACP ACP KS KS KS ACP ACP AT AT AT KS AT KS KS ACP KS KS KS KS KS AT ACP KS AT AT ACP
171	pks	KS KS ACP AT ACP AT ACP ACP AT ACP AT AT AT ACP ACP ACP ACP KS KS
172	pks	AT ACP AT KS KS AT ACP ACP KS ACP ACP ACP AT ACP AT ACP ACP ACP KS KS AT KS ACP ACP ACP ACP KS AT KS ACP KS KS ACP ACP KS AT AT ACP
173	pks	ACP ACP AT KS ACP AT AT KS AT ACP KS AT KS KS
174	pks	KS ACP ACP AT KS AT KS ACP AT ACP ACP AT AT AT ACP AT ACP KS
175	pks	KS AT KS KS AT AT ACP ACP KS AT ACP KS ACP KS ACP AT ACP KS AT ACP ACP KS ACP ACP AT AT
176	pks	KS AT AT ACP AT KS AT KS AT ACP KS ACP AT ACP ACP KS
177	pks	ACP ACP AT AT ACP AT KS ACP KS AT ACP ACP AT AT ACP KS ACP AT KS KS ACP KS KS KS AT KS AT KS ACP AT AT KS
178	pks	AT ACP KS AT KS AT AT AT KS ACP AT KS KS AT ACP KS AT AT KS AT AT ACP ACP ACP KS KS ACP
179	pks	KS KS AT AT KS KS KS ACP ACP KS ACP ACP AT AT AT KS AT KS AT AT AT ACP AT AT AT AT
180	pks	ACP ACP KS ACP AT ACP ACP ACP ACP ACP
181	pks	AT KS KS ACP ACP ACP KS ACP ACP ACP KS KS AT ACP ACP AT AT KS AT AT ACP KS
182	pks	ACP AT AT ACP AT AT KS ACP
183	pks	ACP KS KS ACP AT AT KS ACP KS KS AT ACP KS ACP AT ACP ACP KS AT ACP ACP KS AT ACP AT KS
184	pks	KS ACP KS KS ACP KS KS KS KS AT AT AT KS AT AT ACP ACP AT AT AT AT ACP KS AT ACP ACP ACP ACP KS AT ACP
185	pks	ACP KS KS KS ACP AT ACP AT AT KS ACP ACP KS ACP KS ACP KS KS KS ACP AT KS AT ACP KS ACP KS AT ACP KS AT AT AT ACP KS KS
186	pks	KS KS AT ACP
187	pks	AT AT KS KS ACP ACP KS AT AT AT KS ACP ACP AT AT ACP ACP KS ACP KS ACP AT ACP KS AT
188	pks	ACP KS AT KS ACP AT AT ACP ACP KS AT AT ACP ACP ACP KS AT AT AT KS ACP KS ACP KS KS ACP AT AT ACP
189	pks	ACP ACP KS KS KS AT
190	pks	AT ACP AT AT AT AT ACP ACP ACP AT AT ACP KS AT ACP ACP
191	pks	KS KS ACP AT AT KS AT ACP ACP KS AT ACP ACP AT ACP ACP KS AT KS ACP
192	pks	KS ACP AT KS ACP KS AT ACP AT
193	pks	ACP KS ACP AT AT ACP ACP ACP KS KS ACP KS AT AT ACP
194	pks	KS ACP ACP KS AT AT ACP KS KS AT AT AT KS ACP KS ACP KS ACP KS AT AT AT ACP ACP KS ACP ACP ACP ACP KS ACP AT KS AT ACP ACP
195	pks	KS AT AT AT AT KS ACP AT KS AT AT AT AT KS ACP KS KS AT KS ACP AT ACP KS KS AT KS KS KS KS AT ACP AT AT KS AT ACP KS AT ACP AT
196	pks	ACP AT AT ACP AT KS ACP KS ACP AT AT ACP KS KS KS
197	pks	KS AT AT AT KS KS ACP AT AT KS ACP KS ACP AT AT AT AT ACP AT
198	pks	ACP AT KS AT ACP ACP KS KS ACP ACP KS AT ACP ACP AT KS KS KS AT KS AT KS ACP AT AT ACP AT KS ACP AT AT KS KS AT ACP ACP KS KS ACP AT
199	pks	KS ACP ACP ACP KS KS KS ACP AT ACP AT AT KS KS KS AT KS ACP KS ACP ACP ACP KS AT AT KS AT KS ACP KS
200	pks	KS KS ACP AT AT KS KS AT ACP ACP KS KS KS ACP KS KS KS KS KS AT KS ACP AT KS AT KS
201	pks	ACP ACP AT ACP KS ACP KS AT ACP KS ACP AT KS AT KS ACP AT KS AT AT KS KS AT ACP ACP AT KS KS ACP ACP AT ACP AT KS AT
202	pks	AT KS ACP AT KS AT ACP KS KS AT ACP KS AT ACP KS ACP KS AT ACP AT AT KS AT ACP AT KS AT AT ACP KS KS AT ACP KS KS ACP KS ACP
203	pks	AT AT ACP KS AT ACP ACP KS AT ACP
204	pks	KS ACP ACP KS ACP ACP KS ACP KS ACP ACP AT AT ACP AT KS KS AT ACP KS
205	pks	KS ACP KS KS ACP KS ACP KS AT AT AT ACP KS ACP AT ACP AT KS AT KS KS ACP ACP ACP KS AT AT KS AT ACP AT AT ACP KS ACP AT
206	pks	KS KS KS ACP ACP ACP ACP AT ACP AT ACP AT KS ACP ACP AT KS KS KS ACP ACP AT AT KS AT AT AT KS
207	pks	ACP AT KS KS KS AT AT AT KS AT AT AT ACP KS AT ACP ACP AT KS KS KS KS KS ACP
208	pks	AT ACP AT AT KS ACP KS KS ACP AT KS KS KS AT ACP
209	pks	KS KS AT ACP AT KS KS ACP KS KS ACP ACP ACP KS AT ACP ACP
210	pks	KS KS KS AT KS AT
211	pks	AT AT ACP AT KS ACP ACP AT ACP AT AT KS KS ACP KS KS AT AT ACP AT ACP KS KS KS KS KS AT ACP KS ACP AT KS ACP ACP ACP AT AT AT KS ACP
212	pks	KS AT KS ACP KS AT KS KS ACP ACP KS ACP AT ACP ACP AT AT AT AT ACP AT KS AT AT KS ACP KS KS KS ACP ACP ACP KS ACP AT KS
213	pks	KS ACP KS ACP ACP KS AT AT ACP ACP AT ACP ACP ACP ACP KS AT ACP AT KS ACP ACP KS AT ACP ACP KS ACP KS KS AT KS ACP KS ACP ACP KS
214	pks	AT ACP KS AT AT ACP AT KS ACP AT AT ACP KS ACP KS AT KS ACP AT KS ACP ACP KS ACP KS ACP ACP AT KS AT AT ACP
215	pks	AT ACP AT KS
216	pks	KS KS ACP ACP KS AT KS KS ACP KS AT KS KS KS KS KS AT KS AT ACP ACP ACP ACP KS ACP AT
217	pks	ACP KS AT ACP AT AT AT ACP KS KS AT ACP ACP KS
218	pks	AT KS KS KS AT AT KS AT KS KS AT KS AT ACP KS ACP ACP ACP AT AT AT AT KS KS AT ACP KS
219	pks	ACP KS ACP KS ACP KS KS AT AT KS KS AT AT KS KS AT ACP AT KS ACP ACP ACP ACP KS KS AT KS AT KS ACP ACP KS AT AT KS AT KS ACP
220	pks	KS AT KS AT ACP KS AT KS KS
221	pks	ACP KS AT AT ACP KS ACP KS KS KS AT AT ACP ACP KS KS AT AT ACP KS AT
222	pks	AT ACP AT KS KS AT AT ACP AT KS KS ACP KS AT ACP AT ACP ACP KS ACP
223	pks	KS KS AT KS ACP AT
224	pks	AT ACP ACP KS KS
225	pks	AT ACP AT KS AT KS ACP KS KS ACP KS KS KS ACP KS KS ACP KS AT AT ACP AT KS ACP ACP AT KS ACP KS AT AT KS AT AT KS KS AT ACP KS KS
226	pks	ACP ACP ACP KS ACP AT KS KS KS KS AT KS AT AT KS KS KS ACP AT KS AT AT ACP KS ACP KS KS KS AT KS KS
227	pks	AT AT KS ACP KS ACP ACP KS KS KS KS KS AT
228	pks	AT KS AT AT AT KS AT KS AT ACP KS ACP KS ACP KS
229	pks	AT ACP KS KS AT AT ACP AT ACP KS AT AT AT ACP AT AT AT KS ACP AT ACP KS KS ACP AT KS AT AT KS ACP AT
230	pks	KS AT KS AT ACP AT AT KS KS KS ACP AT AT KS KS AT ACP ACP AT ACP ACP AT AT AT AT ACP KS KS
231	pks	KS KS AT ACP AT AT AT KS KS AT KS AT AT KS ACP KS ACP KS AT KS ACP AT AT KS ACP ACP AT
232	pks	ACP KS KS ACP ACP AT KS KS ACP KS KS AT ACP ACP KS AT AT ACP ACP AT AT ACP AT ACP AT AT KS AT KS ACP ACP ACP
233	pks	KS ACP AT AT ACP AT KS AT ACP AT ACP ACP AT KS AT AT KS AT AT KS ACP KS ACP AT AT KS KS AT AT ACP AT AT AT AT ACP AT
234	pks	AT AT AT KS ACP ACP AT AT ACP ACP KS KS AT KS ACP AT KS ACP KS KS KS AT KS KS
235	pks	AT AT AT KS ACP AT ACP KS AT ACP ACP AT ACP KS AT KS ACP AT KS AT AT KS KS ACP ACP ACP ACP KS KS ACP KS AT KS ACP AT AT KS AT ACP
236	pks	KS KS KS KS ACP ACP ACP KS AT KS KS AT AT KS AT ACP ACP AT ACP KS ACP ACP KS
237	pks	ACP ACP ACP KS KS KS AT ACP KS ACP KS ACP KS ACP AT AT KS KS ACP KS KS ACP AT AT AT KS ACP AT
238	pks	ACP ACP ACP AT KS AT KS ACP KS AT AT AT AT KS ACP KS ACP KS KS ACP ACP ACP AT AT AT AT ACP KS ACP AT
239	pks	ACP ACP AT KS ACP AT KS AT ACP KS KS ACP KS ACP KS
